,text,polarity,Sentiment
27,pfizerbiontech fda approval apprentice style approve vaccine,0.0,Neutral
28,interesting detailed article showing well tested supplychain sharedvisibility help,0.45,Positive
29,vaccine trumpvaccine astrazeneca pfizerbiontech pfizervaccine pfizercovidvaccine pfizers covid19 belong,0.0,Neutral
30,6 death far death nothing worry covidvaccines pfizervaccine,0.1,Positive
31,please dont spread fake news no evidence case linked,-0.5,Negative
32,icymi fda authorized pfizerbiontech covid19 vaccine united state last night,0.0,Neutral
33,respect due process not give approval instead 29th december surely multiple cou,-0.0625,Negative
34,vaccine anyone covid pfizervaccine pfizerbiontech,0.0,Neutral
35,immigrant muslim couple find covid19 vaccine covidvaccine pfizerbiontech pfizervaccine pfizerproud,0.0,Neutral
36,fda finally issue eua come problem transporting pfizerbiontech vaccine need kept,0.0,Neutral
37,lady gentleman covidvaccine expert every household pakistan pfizerbiontech oxfordvaccine,0.0,Neutral
38,fact sheet healthcare provider administering vaccine pfizerbiontech covidvaccine,0.0,Neutral
39,check table 23 table took penny w,0.0,Neutral
40,one doesnt side effect pfizerbiontech,0.0,Neutral
41,fact sheet recipient caregiver pfizerbiontech covidvaccine,0.0,Neutral
42,covidvaccine pfizerbiontech covid19 pfizerbiontech covid19 capetown,0.0,Neutral
44,fda authorizes pfizerbiontech coronavirus vaccine emergency use,0.0,Neutral
45,covidvaccine poison enough left side effect like bellspalsy flocking,0.0,Neutral
46,dairy dose dumbsville donthecon grifterinchief trumpforprison trumpcrimefamily covid,0.0,Neutral
47,u fda approved two coronavirus vaccine pfizerbiontech amp moderna 200 vaccine develo,0.0,Neutral
48,get set approve pfizerbiontech vaccine rollout preparation pick pace across eu meanwhile,0.0,Neutral
49,covid19 news update public questioned whether actually received shot video footage appeared show,0.0,Neutral
50,tragedy another life taken corporate greed evil pharmaceutical company vaccination vaccine,-0.5,Negative
51,ive never excited get vaccine covidvaccine pfizerbiontech vaccinessavelives vaccineswork,-0.1875,Negative
52,building last week trial run extending vaccination programme week much effort going b,0.1,Positive
53,first covid19 vaccine dos arrived oregon watch morningsonthedove 6am 9am tomorrow det,0.25,Positive
54,iran told world health organization not intend import pfizerbiontech covid19 vaccine bec,0.0,Neutral
55,concerned side effect pfizerbiontech covid19 vaccine check recap,0.0,Neutral
56,great feeling big thank healthcare professional scientist nurse doctor caregiver,0.3,Positive
57,member delivered first covid19vaccine morning teamster ups covid19 pfizer,0.25,Positive
58,getting first dose pfizerbiontech covidvaccine next weekend seeing unboxing made r,0.125,Positive
59,taking covid19 vaccine available covid19 pfizer biontech vaccine pfizerbiontech,0.4,Positive
60,rempeltrudeau exchange seen believed saw,0.0,Neutral
61,pfizerbiontech new york state administered first nontrial vaccine morning health care worker p,0.19318181818181818,Positive
62,pfizerbiontech female sterilization pfizer untested no liability crimesagainsthumanity,0.0,Neutral
63,key crushcovid milestone achieved shutting amp coverup pfizerbiontech untested no l,0.0,Neutral
64,inbox say shipment pfizerbiontech vaccine continue ship missouri 21 vaccinat,0.0,Neutral
65,pfizerbiontech germany based let hope small number,-0.25,Negative
66,icu nurse sandra lindsay said proud becoming one first american receive pfizer,0.375,Positive
67,screenshot 2 qp exchange unfortunately hansard not c,-0.5,Negative
68,physician currently covid cried vaccinessavelives pfizerbiontech,0.0,Neutral
69,unfortunately hansard not capture aggro fingerpointing deskthumping werea,-0.5,Negative
70,hallo unroll asked 1 uk nh mhra updated covidvaccine clinical guidel,0.0,Neutral
71,odd verb choice doug hand observe welcome anita anand put,0.3166666666666667,Positive
72,first ontarian vaccinated minute later psw anita quidangen toronto pfizerbiontech,0.125,Positive
73,would take vaccine listen expert pfizerbiontech untested,0.0,Neutral
74,weekend faa issued guidance pilot following use new pfizerbiontech vaccine,0.06818181818181818,Positive
75,ugursahin ozlemtureci muslim scientist husbandwife saving world pfizerbiontech,0.0,Neutral
76,surprised learn autoimmune condition otherwise immunosuppressed advised not receive,0.1,Positive
77,erin otooles handpicked health critic going even,0.0,Neutral
78,warpspeed money go not covid pioneer pfizerbiontech moderna asking friend griftertrump klan,0.0,Neutral
79,pfizerbiontech vaccine work article made detailed explanation covid19,0.4,Positive
80,new type vaccine man daft hurt ear listening biggest question,0.13636363636363635,Positive
81,actually read global news article jagmeet tweet embedded therein j,0.0,Neutral
82,first u covid19 vaccination today thank everyone stepping getting covidvaccine,0.25,Positive
83,anitaquidangen personal support worker toronto became one first people canada receive,0.125,Positive
84,state supposed get 35100 dos total pfizerbiontech vaccine week remained 30225,0.0,Neutral
85,orangecounty get 25k dos pfizerbiontech vaccine wednesday dec 15 confirms,0.0,Neutral
86,breaking covid19 vaccine legacy health first registered covid19 vaccine,0.25,Positive
87,ruhroh anita also sawheard michelle rempel suggest qp house,0.0,Neutral
88,kfdmsfox 4 baptist hospital getting first hand look pfizer covid19 vacci,0.25,Positive
89,canadian pm justin trudeau announced arrival first vaccine vial country biontech pfizerbiontech,0.25,Positive
90,privileged offered pfizerbiontech vaccine would encourage everyone take itll help protect peo,0.0,Neutral
91,one first vaccine receiver u momentous science hope arrived covid19 covidvaccine,0.25,Positive
92,half way covid19 covidvaccine vaccination pfizervaccine pfizerbiontech,-0.16666666666666666,Negative
93,cant wait take kid towards herd immunity vaccine pfizerbiontech,0.0,Neutral
94,toronto receive ontario 1st dos pfizer covid19 vaccine today ontario,0.0,Neutral
95,good news first dos pfizerbiontech vaccine arrived california last night gov gav,0.31666666666666665,Positive
96,pandemic pcrgate condemic billgatesisnotadoctor pfizerbiontech moderna astrazeneca,0.0,Neutral
97,make vaccine company liable pfizerbiontech pfizer johnsonandtoxin vaccinesarepoison,-0.1,Negative
98,fda authorizes emergency use pfizer vaccine pfe pfizer pfizervaccine,0.0,Neutral
99,supervising im torn politician going firstish show important,0.4,Positive
100,pfizerbiontech wondering every pfizer employee way boardroom vaccinated yet,0.0,Neutral
101,last night first covid19vaccines arrived canada speak first vaccine admin,0.16666666666666666,Positive
102,happy cold chain day way get vaccine distributed across county coldchain pfizerbiontech industrial cre,0.10000000000000003,Positive
103,received first dose covidvaccine pfizerbiontech today feel privileged amp lucky p,0.29166666666666663,Positive
104,several country including u uk approving use pfizerbiontechs covid19vaccine,0.0,Neutral
105,hospital work received vaccine iv room made first five dos given state,0.25,Positive
106,last night welcomed first 30k dos pfizerbiontech vaccine although l,0.125,Positive
107,historical moment firstdose pfizerbiontech covid_19 vaccine administered upmc pitt,0.0,Neutral
108,breakingnews nurse new york city monday became first person united state receive corona,0.19318181818181818,Positive
109,update nurse new york city monday became first person united state receive coronavirus,0.19318181818181818,Positive
110,new received first shipment pfizerbiontechs covid19 vaccine front line healthcare,0.19318181818181818,Positive
111,kind surreal vaccine dropping today pfizerbiontech,0.425,Positive
112,coronavirus vaccine ship today expect hospital overwhelmed nine month baby delivery,0.0,Neutral
113,per cdc person hiv immunocompromising condition may still receive covid19 vaccine unless,0.0,Neutral
114,im not graveling foot someone killed 290k usa appreciate scientist,-0.2,Negative
115,science everywhere result entire world approve vaccine one country,0.0,Neutral
116,president trump say first pfizerbiontech covid19 vaccine united state administered,0.25,Positive
117,1st dos pfizerbiontechs covid19 vaccine arrive canada,0.0,Neutral
118,ups fedex transport initial pfizerbiontech covid19vaccine dos ups fdx,0.0,Neutral
119,new vaccination campaign begin today quebec resident maimonides among first senior,0.19318181818181818,Positive
120,kudos ups announced 13th involvement amp full support distribution effort pfizerbiontechs,0.175,Positive
121,tuna fish covid19 vaccine container freezer used ship seafood given new role,0.13636363636363635,Positive
122,end sight many coworkers getting first dos pfizerbiontech covidvaccine,0.375,Positive
123,pfizer received emergency use authorization food drug administration covid19 vaccine develope,0.0,Neutral
124,thank thank thank scientist worked development vaccine covid19,0.0,Neutral
125,well done usa pfizerbiontech pfizervaccine covid19,0.0,Neutral
126,sunday evening shipment first initial 30000 dos pfizer vaccine spread across 14 dist,0.125,Positive
127,watch shipment initial dos covid19 vaccine arrived selected port entry canada sunday,0.0,Neutral
128,singapore approves pfizer covid19 vaccine first shipment expected end december say pm lee hsien loong,0.075,Positive
129,lipid used lipid nanoparticle used mrna biontechpfizer pfizerbiontech covidvaccine,0.0,Neutral
130,canada begin pfizerbiontech covid19vaccine rollout,0.0,Neutral
131,approval pfizerbiontech vaccine singapore approves covidvaccine expects first shot decemb,0.25,Positive
132,first pfizer coronavirus vaccine dos set arrive hospital pfizerbiontech,0.25,Positive
133,vaccinated 11 million new case confirmed past week death toll 30600,0.09545454545454546,Positive
134,u health care worker amp vulnerable receive pfizerbiontech shot truck sunday began shipping milli,-0.5,Negative
135,oh great thought wouldnt able see xmas btw heard radio shropsh,0.65,Positive
136,pfizerbiontechs covid19 vaccine making way distribution site nationwide say,0.0,Neutral
137,u set start covid19 vaccination drive dos pfizerbiontech vaccine ready,0.2,Positive
138,singapore became monday first asian country approve pfizerbiontechs coronavirusvaccine said ex,0.125,Positive
139,singapore approves pfizer vaccine becomes first south east asian country approve vaccine dos gi,0.125,Positive
140,pfizerbiontech covid19 vaccine distributed electoralcollege formally cast vote today detroitlions los,0.0,Neutral
141,billgates caught video admitting covidvaccine change dna forever via,0.0,Neutral
142,singapore approves pfizerbiontech virusvaccine pandemic,0.0,Neutral
143,excited tomorrow honoured part exciting team administering primary care covid_19,0.3583333333333334,Positive
144,caught video admitting covidvaccine change dna forever,0.0,Neutral
145,not get vaccine yet via vaccine maskup pfizer pfizervaccine pfizerbiontech,0.0,Neutral
146,canada begin pfizerbiontech covid19vaccine rollout pandemic,0.0,Neutral
147,singapore approves pfizerbiontech covid19 vaccine first shipment expected enddecember coronavirus,0.075,Positive
148,pfizerbiontech thank drsahin amp team,0.0,Neutral
149,u expects immunized 100 million covid19 end march slaoui,0.0,Neutral
150,singapore plan tackle covid19 really effective early pandemicmore 1 bn set aside fo,0.35,Positive
151,singapore approves vaccine local use vaccine safe use people aged 16,0.13333333333333333,Positive
152,phase 3 begin dec 28 pfizerbiontech vaccine first arrive singapore end dec shot free,0.325,Positive
153,world thank pfizerbiontech drsahin amp team,0.0,Neutral
154,vaccine mean im gon na eventually wear proper bra agreement un,-0.15625,Negative
155,u began shipment covid19 pfizerbiontech vaccine sunday following final cdc approval pandemic far,0.03333333333333333,Positive
156,true question scientist many vaccine pfizerbiontech vaccine need given 2 shot,0.425,Positive
157,first million pfizerbiontech vaccine arrived u lastminute emergencyauthorization,0.25,Positive
158,donaldtrump mikepence offered recently authorized pfizerbiontech vaccine,0.0,Neutral
159,pfizervaccine unlikely available india mass distribution read find pfizerbiontech,-0.04999999999999999,Negative
160,u set begin coronavirus vaccination drive today dos pfizerbiontechs vaccine set,0.0,Neutral
161,politico december 13 2020 fda hahn covid19 vaccine authorization based science data,0.0,Neutral
163,im due get vaccine tuesday super thrilled pfizer pfizerbiontech coronavirusvaccine,0.26944444444444443,Positive
164,usa start vaccination today according latest figure maximum coronavirus case 167 mil,0.5,Positive
165,covid pfizerbiontech vaccine pennsylvania nursing home pennsylvania prepare covid19 vaccine distribut,0.0,Neutral
166,vaccine save life hopefully hcw assuage public fear anxiety regarding vaccine finally,0.0,Neutral
168,politician essentialworkers covid19 pfizerbiontech covidvaccine vaccineswork sciencematters,0.0,Neutral
169,first batch dos pfizerbiontechs covid19 vaccine arrived canada pm trudeau said twitter,0.25,Positive
171,good news pfizerbiontech vaccine arrived vaccine like moderna astrazeneca also coming,0.7,Positive
172,money mr mark twain getting one first dos pfizerbiontech vaccination united state,0.25,Positive
173,apt29 aka cozybear hacker group suspected hacking pfizerbiontech ip federal agency like u treas,0.0,Neutral
174,pfizerbiontechs covid19 vaccine also urgently needed africa ghana nigeria egypt southafrica amp rest,0.0,Neutral
175,come covid_19 pfizerbiontech,0.0,Neutral
176,might well call 100 year ahead liarinchief nothing pfizercovidvaccine pfizerbiontech,0.0,Neutral
177,interesting approach guidance v clear person history anaph,0.3,Positive
178,pfizerbiontech covid19 vaccine donald trump mike penny amp top u official offered early access newly,0.24545454545454545,Positive
179,pfizerbiontech vaccine hacked day ago ustreasury hack announced today whol,0.0,Neutral
180,safe thank vaccine fedex pfizerbiontech pfizer,0.5,Positive
181,nowhere near 2030 premature innoculation pfizerbiontech cdnpoli,0.1,Positive
182,harharmahadev first batch dos pfizer biontech vaccine canada yay many congratulation,0.375,Positive
183,welcoming 1st covid19vaccines tonight 1st 30k dos pfizerbiontech arriving across cou,0.0,Neutral
184,information pfizer vaccine severe allergy covidvaccine pfizervaccine pfizerbiontech,0.0,Neutral
185,welp thanks already arent going quite planned pfizerbiontech covidvaccine distribution,0.2,Positive
186,mt five year ahead schedule pandemic no predetermined schedule ackno,0.0,Neutral
187,excellent news great president trump administration pushed get vaccine ready qui,0.6666666666666666,Positive
188,good heaven stupid reason even slow day get dummy pademics slither away alr,-0.13333333333333333,Negative
189,say wont take pfizers vaccine covid19 read report,0.0,Neutral
190,covid_19 covidvaccine pfizerbiontech,0.0,Neutral
191,process definitely thought everything publicity wise pfizervaccine pfizerbiontech,0.35,Positive
192,turkey coronavirus death toll reach 16417 coronaviruspandemic turkey pfizerbiontech,0.0,Neutral
193,case anyone interested link pfizerbiontech covid19vaccine patient information,0.25,Positive
194,yes link patient education information pfizerbiontech given,0.0,Neutral
195,unitedstatesthe first covid19 vaccine going cdc officially allows pfizerbiontechcoronavirus,0.25,Positive
196,infection worldwide unitedstates 220575 brazil 43279 turkey 30805 coronavirus corona covid_19,0.0,Neutral
197,pfizerbiontech covidvaccine given green light u,0.1,Positive
198,kind america leave behind trump donaldtrump joebiden newyork washington whitehouse,0.09999999999999998,Positive
199,trump claiming pfizerbiontech vaccine one administrati,0.0,Neutral
200,go grateful among first group vaccinated healthcare worker tampafl covid19,0.25,Positive
201,cdc acip released interim guidance use pfizerbiontech covid vaccine,0.0,Neutral
202,dr kathy lofy say vaccine new tool tool box say shell also get vaccinated soon,0.13636363636363635,Positive
203,advisory committee immunization practice interim recommendation use pfizerbiontech covid19 vaccin,0.0,Neutral
205,acip recommended use pfizerbiontech covid19 vaccine person 16 year age older,0.16666666666666666,Positive
206,redfield signed recommendation cdc panel recommends pfizers covid19 vaccine,0.0,Neutral
207,box containing first shipment pfizerbiontech covid19 vaccine prepared sent pfizer,0.25,Positive
208,great day country amp world one day closer leaving first,0.525,Positive
209,answer question covid vaccination vaccine covid_19 healthcare health,0.0,Neutral
210,watched new thesundayshow correctly stated two death among,0.13636363636363635,Positive
211,pfizerbiontech pfizercovidvaccine vaccinerollout 38 day,0.0,Neutral
212,agree uk u vaccinate technology pioneered 2 german one usbiotechs u celebrates distribution,0.0,Neutral
213,pfizer not funded operation warp speed would never supported mu,0.0,Neutral
214,covid19 vaccination bit helping save human race mega sore arm today expected small pr,-0.11666666666666665,Negative
215,apparently truck escorted u marshal stay safe no hijacking,0.275,Positive
216,airborne heading memphis pfizerbiontech covidvaccine fedex a306 n669fe,0.0,Neutral
217,newly approved vaccine ccpvirus start distributed u state dec 14 according,0.13636363636363635,Positive
218,think going seeing lot happening l,0.0,Neutral
219,know trumpkins like not informed go 1 pfizerbiontech vaccine developed,0.1,Positive
220,canadian firm acuitas heart pfizerbiontech vaccine great story ubc helped early wi,0.23333333333333336,Positive
221,dday beginning end thats today said cautioning would still take month,0.0,Neutral
222,first truck loaded pfizers coronavirus shot pulled michigan warehouse early sunday starting,0.11666666666666665,Positive
223,thanks bringing fresh air positivity god hand pushing u forw,0.25,Positive
224,pfizer pfizercovidvaccine vaccine vaccination biontech pfizerbiontech moderna toxic mrna,0.0,Neutral
225,update pfizerbiontech covid19 vaccine began leaving company michigan factory sunday set,0.0,Neutral
226,eng nh worker vaccine game changer hopenews nhsheroes bbcnews vaccine covid19uk covid19,-0.4,Negative
227,update pfizerbiontech covid19 vaccine began leaving company michigan factory sunday set inje,0.0,Neutral
228,someone remind pfizerbiontech vaccine not developed u scienceovermorons,-0.05,Negative
229,rival u company ups fedex working sidebyside ship pfizerbiontech covid19 vaccine,0.0,Neutral
230,pfizerbiontech usa first shipment pfizerbiontech coronavirus vaccine leaf michigan facility,0.25,Positive
231,kuwait authorizes emergency use pfizerbiontech covid19 vaccine covid news visit,0.0,Neutral
232,approval pfizer biontech vaccine fda advisory board last minute news u food drug administra,0.0,Neutral
233,happy relieved pfizerbiontech covidvaccine amazing work since,0.7000000000000001,Positive
234,vaccine pfizerbiontech oxford_astrazeneca bharatbiotech sputnikv company submitted applicat,0.0,Neutral
235,u food drug administration fda issued yesterday first emergency use authorization pfizerbion,0.25,Positive
236,covid 19 vaccination latest update,0.5,Positive
237,10 month 3 week since first case finally relief uncle sam vaccination start monday,0.125,Positive
238,first truck filled pfizer vaccine hit road pfizerbiontech,0.325,Positive
239,u say covid19 vaccine start arriving state monday via pfizervaccine,0.0,Neutral
240,interesting watch live coverage loading pfizerbiontechs vaccine pfizer plant,0.3181818181818182,Positive
241,vaccine acomin covid19 coronavirus vaccine pfizerbiontech cnn msnbc,0.0,Neutral
242,global coronavirus death toll reach 1611637 coronaviruspandemic pfizerbiontech,0.0,Neutral
243,two people united kingdom experienced allergic reaction pfizerbiontech covid19 vaccine rea,0.8,Positive
244,gps struggling provide core service amp many made di,0.5,Positive
245,first shipment pfizerbiontech covid_19 vaccine begin arriving u state monday offi,0.25,Positive
246,number likely get worse holiday vaccine offering bright spot fight,0.10000000000000002,Positive
247,keep good work pfizerbiontech pfizervaccine pfizerbiontech pfizerbiotech covid19 vaccine coronavirus,0.7,Positive
248,health canada warned people allergic ingredient pfizerbiontech covid19 vaccine not,0.0,Neutral
249,pucking not intend get vaccinated wht employer force get vaccinated like arogya set,0.0,Neutral
250,ok might late discovering pfizerbiontech moderna covid19 vaccine led,0.1,Positive
251,hour authorized fda dos pfizerbiontech coronavirus vaccine packaged,0.0,Neutral
252,fda advisor tapped review coronavirus vaccine received payment vaccine company pray th,0.0,Neutral
253,dumas not anything pfizerbiontech vaccine bet w,0.0,Neutral
254,u state start getting pfizerbiontech covid19 vaccine monday kalingatv pfizervaccine,0.0,Neutral
255,corona pfizer vaccine approved use u emergency basis pfizervaccine u fda pfizerbiontech covid19,0.0,Neutral
256,ups fedex collaborate ship pfizerbiontech covid19 vaccine u ups fedex,0.0,Neutral
257,u president donald trump announced vaccine free american thanked scienti,0.2,Positive
258,astrazeneca buy pharmaceutical firm alexion 39 billion covid19vaccine pfizer pfizervaccine,-0.2,Negative
260,astrazeneca buy pharmaceutical firm alexion 39 billion covid19vaccine pfizer,-0.2,Negative
261,pfizerbiontech created vaccine not trump recommended bleach injection,0.0,Neutral
262,u public start receiving pfizerbiontech coronavirus vaccine monday authorised,0.0,Neutral
264,pfizerbiontech covid19 vaccine side effect canada warns allergic people pfizerbiontech coronavirus vac,0.0,Neutral
265,hatched canada 2 pfizerbiontech vaccine developed germany 3 scie,0.1,Positive
266,hatched canada 2 pfizerbiontech vaccine developed germany 3 scientist behind,-0.15000000000000002,Negative
268,dos pfizerbiontech vaccine begin leaving company factory kalamazoo michigan sunday th,0.0,Neutral
269,covid19 vaccine update initial dos pfizer coronavirus vaccine u begin tomorrow,0.0,Neutral
270,salute healthcareheroes risking life everyday taking care covid patient may god give th,-0.2,Negative
271,proving unproven time constraint always hardest great achievement pfizer,0.8,Positive
272,canadian guidance people allergy pfizerbiontech covidvaccine since still evolv,0.0,Neutral
273,pfizervaccine pfizerbiontech pfizer not 100 transparent coronavirus vaccineswork,0.0,Neutral
274,youre wrong malaysia already preordered pfizerbiontech covid19vaccine expected 2021 plus part,-0.3,Negative
275,love high quality infographics getting across multiple idea quickly excellent set fact,0.41500000000000004,Positive
276,pfizerbiontech covid19vaccines prepped shipment wall street journal,0.0,Neutral
277,learn victory polio good refresher polio came end let not forget,0.7,Positive
278,big pharma best interest hold stock amp not patient pfizervaccine pfizerbiontech,0.5,Positive
279,tv ad 2030 receive cv19 vaccine 2020 2021 entitled financial compensation,0.0,Neutral
280,thank getting approved prepared,0.0,Neutral
281,canada ordered enough pfizerbiontech vaccine people,0.0,Neutral
282,pfizervaccine pfizerbiontech whats vaccine pfizer not 100 transparent coronavirus,0.0,Neutral
283,entire ingredient pfizervaccine see like bigmac splash superpower fi,0.0,Neutral
284,stop wearing week 2nd pfizerbiontech vaccine curious use test get vac,-0.05,Negative
285,guidance clear person history anaphylaxis vaccine medicine,0.09999999999999999,Positive
286,reason dont polio vaccinated virus please let embrace covid vac,0.0,Neutral
287,say no covid19 vaccine vaccine vaccination pfizervaccine covid_19 pfizerbiontech covidvaccines,0.0,Neutral
288,still seems unclear reconstitute pfizerbiontech vial site nursing home,0.0,Neutral
289,fda pfizerbiontech operationwarpspeed coronavaccine grateful covid corona fda approves pfizers cov,0.0,Neutral
290,u covid19 vaccine shipment start rolling sunday via operationwarpspeed,0.0,Neutral
291,fda give guidance allergy pregnancy concern covid vaccine via,0.0,Neutral
292,announcement come federal authority granted pfizer vaccine emergency use authorization read,0.0,Neutral
293,unitedstates federal aviation administration faa said saturday approved use,0.0,Neutral
294,u agency authorizes pfizerbiontech covid19 vaccine first vaccine administered,0.25,Positive
295,new podcast vaccinating way pandemic amp discus,0.13636363636363635,Positive
296,eric shawn vaccine herein record time thanks al,0.2,Positive
297,fact senator would nice respect faith tell truth pfizerbiontech vaccine dev,0.6,Positive
299,vaccine pfizervaccine pfizerbiontech whats vaccine pfizer not 100 transparent,0.0,Neutral
300,coming vaccine soon excited covidvaccine covid19 pfizervaccine pfizerbiontech maskup,0.375,Positive
301,beyond relieved share ill among first receive covidvaccine pfizerbiontech thank,-0.125,Negative
302,twitterpoll dyk uk bahrain canada amp usa among first nation approve pfizerbiontech,0.25,Positive
304,fascinating see messenger rna vaccine delivery approach helped enable dramatically shorter time,0.7,Positive
305,vaccine discovered developed europe turkishgerman husband wife covid19vaccine,0.1,Positive
306,tiffany dover alive tiffanydover pfizer pfizerbiontech pfizervaccine vaccinoanticovid,0.1,Positive
307,black woman giving alright pfizerbiontech,-0.16666666666666666,Negative
308,thats indeed sight relief saudi health minister showcased sample pfizerbiontech vacci,0.0,Neutral
309,important day f,0.4,Positive
310,itll interesting see postvaccine birth rate next winter covid19 pfizerbiontech,0.25,Positive
311,covid vaccinated vaccination pfizerbiontech coronavaccine,0.0,Neutral
312,singapore pfizerbiontech volunteer amp not 16 immune suppressant taker amp pregnant portal booklet kn,0.3333333333333333,Positive
313,moderna vaccine not need extra special handling requirement one pfizer includin,0.17857142857142858,Positive
314,mandated anthrax vaccine killed 35k u soldier maimed many 2 serious adverse reaction,-0.011111111111111108,Negative
315,mrna vaccine teach cell make protein trigger immune response without using live vi,0.13636363636363635,Positive
316,vaccine special trigger immune response without using actual virus cause covid19,0.17857142857142858,Positive
317,healthcare worker receive first dosis pfizerbiontech covid19 vaccine memorial healthcare system mir,0.25,Positive
318,supplier fosun pharma making initial payment 125 mil yearend 50 million dos fmtnews,0.0,Neutral
319,vaccine rolled week several country bringing hope scepticism vaccine,0.0,Neutral
320,excited received first part pfizerbiontech covidvaccine todayimpressive resource mobilization,0.3125,Positive
321,1000 jackson employee successfully received first dose pfizerbiontech covid19 vacci,0.5,Positive
322,something interesting learned interview today there lot chatter,0.5,Positive
323,usa oklahoma oklahoma historic day hannah white registered nurse integri,0.0,Neutral
324,waiting age group get injected canada expect would not happen next year let patie,0.0,Neutral
325,turkey death toll covid19 rise 16881 coronavirus pfizerbiontech sinovac,0.0,Neutral
326,getting vaccinated coronavaccine pfizerbiontech vaccination mrna covid19vaccine pfizer,0.0,Neutral
327,pfizerbiontech covidvaccine not effect interact person dna dna located nucleus,0.0,Neutral
328,vaccine may come risk thank pfizer pfizervaccine pfizerbiontech pfizercovidvaccine,0.0,Neutral
329,berlin pressuring brussels license pfizerbiontech vaccine christmas,0.0,Neutral
330,real cool boston healthcare covid19 vaccine pfizer pfizerbiontech,0.5249999999999999,Positive
331,anyone notice vaccination nh picture taken no video actual vaccination becau,0.0,Neutral
332,usa government prepping million dos pfizerbiontech coronavirus vaccine shipment site,0.0,Neutral
333,moderna covidvaccine differ pfizerbiontech vaccine answer question,0.0,Neutral
334,,0.0,Neutral
335,healthcareheroes jackson north medical center getting covid19 pfizerbiontech vaccine today,-0.05,Negative
336,talking human life let not repeat mistake past dengvaxia jeopardized many life,0.08333333333333333,Positive
337,thrilled receive first dose covid vaccine today vulnerable people visit support work,0.11666666666666665,Positive
338,know wearing mask around others staying least 6 foot away avoiding crowd washing hand pr,-0.3,Negative
339,pharmacist essential easing patient concern safety covid19 vaccine pfizerbion,0.0,Neutral
340,happened got first dose pfizerbiontech vaccine today best holiday present ever al,0.4166666666666667,Positive
342,first give covid19 vaccine liberal politician bureaucrat scientist bigpharma pfizerbiontech,0.25,Positive
343,pleased get pfizerbiontech covid_19 vaccine important many people possi,0.4666666666666666,Positive
344,first dose covid vaccine today still wear ppe still socially distant least,-0.049999999999999996,Negative
345,9 course people want make sure vaccine take safe clinical trial data available f,0.4666666666666666,Positive
346,staff applause vaccine rolled towards fridge pfizerbiontech,0.0,Neutral
347,md dr susannah thompson pulling stop leading magnificent team nh staff amp volunteer tonight,1.0,Positive
348,starting covid vaccination program today socially distanced staff patiently waiting covidvaccine,0.016666666666666666,Positive
349,im honored one first getting vaccinated protect protect loved one gettin,0.475,Positive
350,proud whole team today officially started vaccinating everyone worked extremely,0.2916666666666667,Positive
351,first vaccine shot u watch video firstvaccineshots covid covid19,0.25,Positive
352,hey respect covidvaccine say someone get vaccinated build antibody donate,0.0,Neutral
353,despite lebanon dire shortage foreign exchange government expects sign 18 million deal suppl,-0.125,Negative
354,pfizerbiontech covidvaccine not contain live virus vaccine not not cause covid19 disease not even possible,0.06818181818181818,Positive
